CustomerID,Age,MonthlyCharges,Tenure,ContractType,InternetService,SupportTickets,Churn
1001,25,45,12,Month-to-month,Fiber,5,1
1002,40,70,48,One year,DSL,1,0
1003,30,55,24,Month-to-month,Fiber,3,1
1004,50,90,60,Two year,Fiber,0,0
1005,28,60,18,Month-to-month,DSL,4,1
1006,45,85,54,Two year,Fiber,1,0
1007,35,65,36,One year,DSL,2,0
1008,26,50,10,Month-to-month,Fiber,6,1
1009,55,95,72,Two year,Fiber,0,0
1010,31,58,20,Month-to-month,DSL,3,1
1011,42,78,50,One year,Fiber,1,0
1012,29,52,15,Month-to-month,DSL,5,1
1013,47,88,58,Two year,Fiber,0,0
1014,33,62,28,One year,DSL,2,0
1015,27,48,8,Month-to-month,Fiber,7,1
1016,52,92,65,Two year,Fiber,0,0
1017,38,72,42,One year,DSL,1,0
1018,24,44,6,Month-to-month,Fiber,8,1
1019,49,86,55,Two year,Fiber,0,0
1020,32,59,22,Month-to-month,DSL,4,1
